Week_ending_Friday,Week_number,Status,Dubai_crude_USD.p.bbl,NZ_US_exrate,Dubai_crude_NZD.p.bbl,Diesel_importer_cost_NZc.p.l,Diesel_ETS_NZc.p.l,Diesel_GST_NZc.p.l,Diesel_taxes_NZc.p.l,Diesel_price_excl_taxes_NZc.p.l,Diesel_main_port_price_NZc.p.l,Diesel_discounted_retail_price_NZc.p.l,Diesel_importer_margin_NZc.p.l,Diesel_margin_trend_NZc.p.l,Petrol_importer_cost_NZc.p.l,Petrol_ETS_NZc.p.l,Petrol_GST_NZc.p.l,Petrol_taxes_NZc.p.l,Petrol_price_excl_taxes_NZc.p.l,Petrol_main_port_price_NZc.p.l,Petrol_discounted_retail_price_NZc.p.l,Petrol_importer_margin_NZc.p.l,Petrol_margin_trend_NZc.p.l,Diesel_main_port_price_excl_taxes_NZc.p.l
12/02/2010,2010w06,Final,70.92,0.69154,102.5537207,77.94671706,0,12.15061728,12.52561728,96.82993827,110.9,109.3555556,18.88322121,16.9008907,81.26978131,0,19.04567901,75.17467901,96.2364321,172.9,171.4111111,14.96665078,15.01269152,98.20277778
19/02/2010,2010w07,Final,75.71,0.70002,108.1540527,79.84438277,0,12.15061728,12.52561728,96.82993827,110.9,109.3555556,16.98555551,16.97944225,83.13138559,0,19.04567901,75.17467901,96.2364321,172.9,171.4111111,13.10504651,15.09956343,98.20277778
26/02/2010,2010w08,Final,75.72,0.69588,108.8118641,81.96533615,0,12.15061728,12.52561728,96.82993827,110.9,109.3555556,14.86460212,17.0398683,85.31237269,0,19.04567901,75.17467901,96.2364321,172.9,171.4111111,10.92405941,15.15503808,98.20277778
5/03/2010,2010w09,Final,76.98,0.69508,110.7498417,83.08844733,0,12.27760141,12.65260141,97.84581129,112.0428571,110.4984127,14.75736396,17.10029436,86.48322842,0,19.36313933,75.49213933,98.77611464,175.7571429,174.268254,12.29288622,15.21051273,99.21865079
12/03/2010,2010w10,Final,78.08,0.70078,111.4187049,84.30766396,0,12.61093474,12.98593474,100.512478,115.0428571,113.4984127,16.20481399,17.16072041,88.10271381,0,19.83932981,75.96832981,102.5856384,180.0428571,178.5539683,14.48292464,15.26598738,101.8853175
19/03/2010,2010w11,Final,77.13,0.70932,108.7379462,82.97436821,0,12.70617284,13.08117284,101.2743827,115.9,114.3555556,18.30001451,17.22114647,86.47410496,0,19.9345679,76.0635679,103.3475432,180.9,179.4111111,16.87343825,15.32146203,102.6472222
26/03/2010,2010w12,Final,77.27,0.7052,109.5717527,82.83885041,0,12.70617284,13.08117284,101.2743827,115.9,114.3555556,18.4355323,17.28157252,85.45766498,0,19.9345679,76.0635679,103.3475432,180.9,179.4111111,17.88987823,15.37693668,102.6472222
2/04/2010,2010w13,Final,79.27,0.708425,111.8961076,84.11086112,0,12.69315658,13.06815658,101.1702526,115.9,114.2384092,17.05939151,17.34199858,85.98759871,0,19.59763358,75.72663358,100.6520687,178.0428571,176.3787023,14.66446996,15.43241133,102.6472222
9/04/2010,2010w14,Final,82.82,0.706125,117.2880156,89.66826149,0,12.87387057,13.24887057,102.6159646,117.6142857,115.8648352,12.9477031,17.40242463,88.85655952,0,19.72588523,75.85488523,101.6780818,179.3285714,177.532967,12.82152228,15.48788598,104.1710317
16/04/2010,2010w15,Final,83.71,0.7138,117.2737461,88.75115631,0,13.01672772,13.39172772,103.7588217,118.9,117.1505495,15.00766542,17.46285068,87.36903447,0,20.01159951,76.14059951,103.9637961,181.9,180.1043956,16.59476162,15.54336063,105.3138889
23/04/2010,2010w16,Final,83.26,0.7094,117.3667888,88.59508232,0,13.01672772,13.39172772,103.7588217,118.9,117.1505495,15.16373941,17.49288029,86.96139307,0,20.01159951,76.14059951,103.9637961,181.9,180.1043956,17.00240302,15.57375263,105.3138889
30/04/2010,2010w17,Final,84.63,0.71922,117.6691416,89.52240336,0,13.25482295,13.62982295,105.6635836,121.0428571,119.2934066,16.14118028,17.5229099,87.49082667,0,20.01159951,76.14059951,103.9637961,181.9,180.1043956,16.47296943,15.60414463,107.2186508
7/05/2010,2010w18,Final,81.09,0.72328,112.1142573,88.78844236,0,13.35006105,13.72506105,106.4254884,121.9,120.1505495,17.63704604,17.55293951,84.94041239,0,20.01159951,76.14059951,103.9637961,181.9,180.1043956,19.0233837,15.63453663,107.9805556
14/05/2010,2010w19,Final,79.5,0.71622,110.9994136,86.26004974,0,13.35006105,13.72506105,106.4254884,121.9,120.1505495,20.16543866,17.58296912,81.54619096,0,19.56715507,75.69615507,100.4082405,177.9,176.1043956,18.86204958,15.66492863,107.9805556
21/05/2010,2010w20,Final,72.43,0.68882,105.1508377,83.01443589,0,13.15958486,13.53458486,104.9016789,120.1857143,118.4362637,21.88724299,17.61299873,80.03020839,0,19.37667888,75.50567888,98.88443101,176.1857143,174.3901099,18.85422262,15.69532063,106.456746
28/05/2010,2010w21,Final,70.14,0.67286,104.2415956,81.70215179,0,12.87387057,13.24887057,102.6159646,117.6142857,115.8648352,20.9138128,17.64302833,78.44088985,0,19.15445665,75.28345665,97.10665324,174.1857143,172.3901099,18.66576339,15.72571263,104.1710317
4/06/2010,2010w22,Final,73.46,0.67982,108.0580154,84.42720195,0,12.68339438,13.05839438,101.0921551,115.9,114.1505495,16.66495312,17.67305794,80.95571146,0,19.01159951,75.14059951,95.96379609,172.9,171.1043956,15.00808464,15.75610463,102.6472222
11/06/2010,2010w23,Final,72.7,0.670525,108.4225048,84.3217306,0,12.68339438,13.05839438,101.0921551,115.9,114.1505495,16.77042446,17.70308755,81.57268547,0,19.01159951,75.14059951,95.96379609,172.9,171.1043956,14.39111062,15.78649663,102.6472222
18/06/2010,2010w24,Final,75.37,0.69724,108.0976421,84.93170795,0,12.68339438,13.05839438,101.0921551,115.9,114.1505495,16.16044711,17.69366023,81.41462833,0,19.01159951,75.14059951,95.96379609,172.9,171.1043956,14.54916776,15.80208177,102.6472222
25/06/2010,2010w25,Final,75.32,0.70982,106.1114085,84.34088529,0,12.84212454,13.21712454,102.3619963,117.3285714,115.5791209,18.02111105,17.68423291,79.98465598,0,19.24969475,75.37869475,97.868558,175.0428571,173.2472527,17.88390202,15.81766691,103.9170635
2/07/2010,2010w26,Final,72.23,0.69724,103.5941713,82.50496844,0.9612,13.06831464,13.44331464,103.2103171,119.6142857,117.6148318,20.70534867,17.67480559,79.20041246,0.8316,19.50062339,75.62962339,99.04438715,177.6142857,175.5056105,19.84397469,15.83325205,104.9876095
9/07/2010,2010w27,Final,71.64,0.6958,102.9606209,81.37102624,2.403,12.96811594,13.34311594,100.9669275,118.9,116.7130435,19.5959013,17.66537826,78.66299721,2.079,19.28405797,75.41305797,96.06446377,175.9,173.5565217,17.40146656,15.84883719,102.9108889
16/07/2010,2010w28,Final,73.22,0.71688,102.1370383,81.21124376,2.403,12.96811594,13.34311594,100.9669275,118.9,116.7130435,19.75568378,17.65595094,78.18543678,2.079,19.28405797,75.41305797,96.06446377,175.9,173.5565217,17.87902699,15.86442233,102.9108889
23/07/2010,2010w29,Final,73.79,0.71336,103.4400583,82.46250673,2.403,12.96811594,13.34311594,100.9669275,118.9,116.7130435,18.50442081,17.64652362,79.5264359,2.079,19.28405797,75.41305797,96.06446377,175.9,173.5565217,16.53802787,15.88000747,102.9108889
30/07/2010,2010w30,Final,73.92,0.72768,101.5831135,81.71586775,2.403,12.96811594,13.34311594,100.9669275,118.9,116.7130435,19.25105979,17.6370963,78.349892,2.079,19.28405797,75.41305797,96.06446377,175.9,173.5565217,17.71457177,15.89559261,102.9108889
6/08/2010,2010w31,Final,78.78,0.73062,107.8262298,85.08324608,2.403,12.96811594,13.34311594,100.9669275,118.9,116.7130435,15.88368146,17.62766898,80.85217312,2.079,19.37929607,75.50829607,96.82636853,176.7571429,174.4136646,15.97419541,15.91117775,102.9108889
13/08/2010,2010w32,Final,74.47,0.72176,103.1783418,82.99386308,2.403,12.96811594,13.34311594,100.9669275,118.9,116.7130435,17.97306446,17.61418806,79.24398029,2.079,19.50628019,75.63528019,97.84224155,177.9,175.5565217,18.59826126,15.90818904,102.9108889
20/08/2010,2010w33,Final,72.61,0.70852,102.4812285,82.50873477,2.403,12.96811594,13.34311594,100.9669275,118.9,116.7130435,18.45819276,17.60070714,78.93392273,2.079,19.315804,75.444804,96.31843202,176.1857143,173.842236,17.38450929,15.90520033,102.9108889
27/08/2010,2010w34,Final,71.28,0.7036,101.3075611,81.93552119,2.67,12.96811594,13.34311594,100.6999275,118.9,116.7130435,18.76440635,17.58722622,77.36826659,2.31,19.09358178,75.22258178,94.30965424,174.1857143,171.842236,16.94138766,15.90221162,102.6438889
3/09/2010,2010w35,Final,73.49,0.70856,103.7173987,82.76885593,2.67,12.96811594,13.34311594,100.6999275,118.9,116.7130435,17.93107161,17.5737453,78.79278699,2.31,19.06183575,75.19083575,94.05568599,173.9,171.5565217,15.262899,15.89922291,102.6438889
10/09/2010,2010w36,Final,75.02,0.72138,103.9951205,81.82404784,2.67,12.96811594,13.34311594,100.6999275,118.9,116.7130435,18.87587969,17.56026438,77.89994104,2.31,19.06183575,75.19083575,94.05568599,173.9,171.5565217,16.15574495,15.89623421,102.6438889
17/09/2010,2010w37,Final,76.04,0.72868,104.3530768,82.45336042,2.67,12.96811594,13.34311594,100.6999275,118.9,116.7130435,18.24656711,17.54678346,77.96460292,2.31,19.06183575,75.19083575,94.05568599,173.9,171.5565217,16.09108307,15.8932455,102.6438889
24/09/2010,2010w38,Final,75.76,0.72984,103.8035734,82.380616,2.67,12.96811594,13.34311594,100.6999275,118.9,116.7130435,18.31931153,17.53330254,76.99951675,2.31,19.06183575,75.19083575,94.05568599,173.9,171.5565217,17.05616924,15.89025679,102.6438889
1/10/2010,2010w39,Final,77.14,0.73582,104.8354217,83.04824089,2.67,15.38372941,15.75872941,99.51319606,120.1857143,117.9419255,16.46495517,17.51982162,77.84944084,2.31,22.75171483,78.88071483,93.23909884,176.9,174.4298137,15.389658,15.88726808,101.4643168
8/10/2010,2010w40,Final,81.31,0.74664,108.9012108,85.6152088,2.67,15.87695112,16.25195112,102.8013408,124.0428571,121.7232919,17.18613201,17.55199211,80.48468069,2.31,23.43775317,82.56675317,94.81268782,182.3285714,179.689441,14.32800713,15.88171605,104.818354
15/10/2010,2010w41,Final,80.69,0.75574,106.7695239,85.09765013,2.67,15.98875236,16.36375236,103.5466824,124.9,122.5804348,18.44903229,17.58416259,81.62509106,2.31,23.51228733,82.64128733,95.30958223,182.9,180.2608696,13.68449117,15.87616403,105.5636957
22/10/2010,2010w42,Final,79.52,0.7513,105.8432051,84.10226377,2.67,15.98875236,16.36375236,103.5466824,124.9,122.5804348,19.44441865,17.61633308,80.31922407,2.31,23.7731569,82.9021569,97.04871267,184.9,182.2608696,16.7294886,15.870612,105.5636957
29/10/2010,2010w43,Final,80.06,0.749975,106.750225,84.61042611,2.67,15.98875236,16.36375236,103.5466824,124.9,122.5804348,18.93625631,17.64850357,80.84143946,2.31,23.7731569,82.9021569,97.04871267,184.9,182.2608696,16.20727321,15.86505998,105.5636957
5/11/2010,2010w44,Final,83.3,0.777,107.2072072,83.10172509,2.67,15.98875236,16.36375236,103.5466824,124.9,122.5804348,20.44495733,17.68067406,79.92035191,2.31,23.7731569,82.9021569,97.04871267,184.9,182.2608696,17.12836076,15.85950795,105.5636957
12/11/2010,2010w45,Final,85.42,0.78422,108.9235164,86.25094159,2.67,15.98875236,16.36375236,103.5466824,124.9,122.5804348,17.29574083,17.71284454,81.52658769,2.31,23.7731569,82.9021569,97.04871267,184.9,182.2608696,15.52212497,15.85395593,105.5636957
19/11/2010,2010w46,Final,82.47,0.77308,106.6771874,85.4037961,2.67,15.98875236,16.36375236,103.5466824,124.9,122.5804348,18.14288632,17.74501503,81.06317235,2.31,23.7731569,82.9021569,97.04871267,184.9,182.2608696,15.98554032,15.8484039,105.5636957
26/11/2010,2010w47,Final,82.03,0.76618,107.0636143,85.06861764,2.67,15.98875236,16.36375236,103.5466824,124.9,122.5804348,18.47806478,17.77718552,81.95908176,2.31,23.7731569,82.9021569,97.04871267,184.9,182.2608696,15.0896309,15.84285188,105.5636957
3/12/2010,2010w48,Final,85.62,0.74886,114.3337874,89.80156208,2.7768,16.28688901,16.66188901,105.4274601,127.1857143,124.8661491,15.62589798,17.83710888,87.61270734,2.4024,24.07129355,83.20029355,98.94389031,187.1857143,184.5465839,11.33118296,15.85053054,107.4444733
10/12/2010,2010w49,Final,88.19,0.75576,116.6904838,92.44774215,2.8035,16.62229274,16.99729274,107.6367849,129.7571429,127.4375776,15.18904276,17.89703224,90.87709899,2.4255,24.742101,83.871101,103.39284,192.3285714,189.689441,12.51574101,15.85820919,109.6537981
17/12/2010,2010w50,Final,89.23,0.74586,119.6337114,93.40054902,2.8035,16.97633,17.35133,109.9970334,132.4714286,130.1518634,16.59648433,17.9569556,91.6603619,2.4255,25.15203889,84.28103889,106.1257592,195.4714286,192.8322981,14.46539735,15.86588785,112.0140466
24/12/2010,2010w51,Final,90.68,0.74194,122.2201256,95.3032353,2.8035,17.14403187,17.51903187,111.1150458,133.7571429,131.4375776,15.81181048,18.01687896,94.35305179,2.4255,25.43154199,84.56054199,107.9891133,197.6142857,194.9751553,13.6360615,15.87356651,113.132059
31/12/2010,2010w52,Final,89.69,0.764866667,117.2622679,93.12773058,2.8035,17.1526285,17.5276285,111.1723567,133.9,131.5034852,18.04462608,18.07680232,92.1206772,2.4255,25.48144748,84.61044748,108.3218165,197.9,195.357764,16.2011393,15.88124517,113.2562826
7/01/2011,2011w01,Final,90.9,0.760466667,119.5318664,94.54214592,2.8035,17.12753623,17.50253623,111.0050749,133.9,131.3111111,16.46292896,18.13672569,92.86971636,2.4255,25.51304348,84.64204348,108.5324565,197.9,195.6,15.66274016,15.88892383,113.2562826
14/01/2011,2011w02,Final,93.7,0.7637,122.6921566,96.04010647,2.8035,17.12753623,17.50253623,111.0050749,133.9,131.3111111,14.96496841,18.19664905,93.78955052,2.4255,25.51304348,84.64204348,108.5324565,197.9,195.6,14.742906,15.89660249,113.2562826
21/01/2011,2011w03,Final,92.92,0.7672,121.1157456,97.18635117,2.8035,17.51884058,17.89384058,113.6137705,136.9,134.3111111,16.42741936,18.25657241,94.25772822,2.4255,25.77391304,84.90291304,110.271587,199.9,197.6,16.01385873,15.90428114,115.8649783
28/01/2011,2011w04,Final,92.73,0.76692,120.9122203,96.8515492,2.8035,17.51884058,17.89384058,113.6137705,136.9,134.3111111,16.76222133,18.32267228,92.5811535,2.4255,25.77391304,84.90291304,110.271587,199.9,197.6,17.69043346,15.92206173,115.8649783
4/02/2011,2011w05,Final,96.34,0.77376,124.5088916,98.40673152,2.8035,17.51884058,17.89384058,113.6137705,136.9,134.3111111,15.20703901,18.38877215,94.34867854,2.4255,25.77391304,84.90291304,110.271587,199.9,197.6,15.92290841,15.93984232,115.8649783
11/02/2011,2011w06,Final,96.64,0.77012,125.4869371,100.9602302,2.8035,17.96604555,18.34104555,116.595137,140.3285714,137.7396825,15.6349068,18.45487203,94.31450274,2.4255,25.77391304,84.90291304,110.271587,199.9,197.6,15.95708421,15.9576229,118.8463447
18/02/2011,2011w07,Final,99.06,0.75576,131.0733566,104.039165,2.8035,18.18964803,18.56464803,118.0858202,142.0428571,139.4539683,14.0466552,18.5209719,97.00110572,2.4255,25.99751553,85.12651553,111.7622702,201.6142857,199.3142857,14.76116446,15.97540349,120.337028
25/02/2011,2011w08,Final,105.84,0.7532,140.5204461,109.064617,2.8035,18.30144928,18.67644928,118.8311618,142.9,140.3111111,9.766544817,18.58707177,103.3091368,2.4255,26.16521739,85.29421739,112.8802826,202.9,200.6,9.571145816,15.99318407,121.0823696
4/03/2011,2011w09,Final,109.34,0.7471,146.3525632,114.9558609,2.8035,19.30766046,19.68266046,125.5392364,150.6142857,148.0253968,10.5833755,18.65317164,107.081247,2.4255,26.89192547,86.02092547,117.7250031,208.4714286,206.1714286,10.64375606,16.01096466,127.7904441
11/03/2011,2011w10,Final,109.77,0.7371,148.9214489,118.458118,2.8035,20.42567288,20.80067288,132.9926525,159.1857143,156.5968254,14.53453449,18.71927152,109.6707874,2.4255,27.76770186,86.89670186,123.5635124,215.1857143,212.8857143,13.89272501,16.02874524,135.2438602
18/03/2011,2011w11,Final,106.94,0.72964,146.5654295,121.451758,2.8035,20.89151139,21.26651139,136.0982426,162.7571429,160.168254,14.64648454,18.78537139,108.2223368,2.4255,27.86086957,86.98986957,124.1846304,215.9,213.6,15.96229359,16.04652583,138.3494503
25/03/2011,2011w12,Final,109.85,0.73964,148.518198,121.6438383,2.8035,21.7300207,22.1050207,141.6883047,169.1857143,166.5968254,20.04446638,18.85662361,109.5557224,2.4255,28.19627329,87.32527329,126.4206553,218.4714286,216.1714286,16.86493292,16.08324241,143.9395124
1/04/2011,2011w13,Final,110.14,0.75664,145.5646014,118.9829625,2.8035,21.71322322,22.08822322,141.5763214,168.6142857,166.4680447,22.59335889,18.92787582,108.0957482,2.4255,28.26722408,87.39622408,126.8936605,218.9,216.7153846,18.79791229,16.119959,143.442618
8/04/2011,2011w14,Final,115.11,0.7718,149.1448562,120.4958909,2.8035,21.56660296,21.94160296,140.5988531,166.9,165.343956,20.1029622,18.99912804,110.367526,2.4255,28.28729097,87.41629097,127.0274398,218.9,216.8692308,16.65991375,16.15667558,141.9519348
15/04/2011,2011w15,Final,115.96,0.78608,147.5167922,118.4161545,2.8035,21.56660296,21.94160296,140.5988531,166.9,165.343956,22.18269863,19.07038025,109.4153585,2.4255,28.28729097,87.41629097,127.0274398,218.9,216.8692308,17.61208128,16.19339216,141.9519348
22/04/2011,2011w16,Final,115.77,0.792,146.1742424,116.2597718,2.8035,21.23119924,21.60619924,138.3628282,164.3285714,162.7725275,22.1030564,19.14163247,108.4811377,2.4255,28.28729097,87.41629097,127.0274398,218.9,216.8692308,18.5463021,16.23010874,139.7159099
29/04/2011,2011w17,Final,118.7,0.803475,147.7332835,115.4427632,2.8035,21.17529861,21.55029861,137.9901574,163.9,162.343956,22.54739425,19.21288468,111.7837971,2.4255,28.28729097,87.41629097,127.0274398,218.9,216.8692308,15.24364273,16.26682533,139.3432391
6/05/2011,2011w18,Final,112.01,0.79812,140.3423044,111.9096786,2.8035,21.17529861,21.55029861,137.9901574,163.9,162.343956,26.08047886,19.2841369,111.5884959,2.4255,28.56679408,87.69579408,128.8907938,221.0428571,219.0120879,17.30229791,16.30354191,139.3432391
13/05/2011,2011w19,Final,108.06,0.79232,136.3842892,107.0493048,2.8035,20.39268992,20.76768992,132.7727661,157.9,156.343956,25.72346137,19.35538912,107.1875376,2.4255,27.89598662,87.02498662,124.4187441,215.9,213.8692308,17.23120651,16.34025849,134.1258478
20/05/2011,2011w20,Final,106.61,0.78642,135.5636937,106.1381095,2.8035,20.00138557,20.37638557,130.1640705,154.9,153.343956,24.02596095,19.4591645,100.981029,2.4255,27.50468227,86.63368227,121.8100485,212.9,210.8692308,20.82901953,16.39279169,131.5171522
27/05/2011,2011w21,Final,107.59,0.79754,134.9023246,104.7294115,2.8035,19.20014333,19.57514333,124.8224556,148.7571429,147.2010989,20.09304408,19.56293988,100.6159699,2.4255,26.70344004,85.83244004,116.4684336,206.7571429,204.7263736,15.85246365,16.44532489,126.1755373
3/06/2011,2011w22,Final,109.15,0.81858,133.3406631,104.8676522,2.8035,19.08834209,19.46334209,124.077114,147.9,146.343956,19.20946174,19.66671526,99.15600613,2.4255,26.5916388,85.7206388,115.723092,205.9,203.8692308,16.56708584,16.49785809,125.4301957
10/06/2011,2011w23,Final,110.6,0.820925,134.7260712,105.905271,2.8035,19.08834209,19.46334209,124.077114,147.9,146.343956,18.17184292,19.77049064,100.1725401,2.4255,26.5916388,85.7206388,115.723092,205.9,203.8692308,15.55055187,16.55039129,125.4301957
17/06/2011,2011w24,Final,110.42,0.81352,135.7311437,106.5310172,2.8035,19.3678452,19.7428452,125.940468,150.0428571,148.4868132,19.40945077,19.87426602,99.89419158,2.4255,26.7779742,85.9069742,116.965328,207.3285714,205.2978022,17.07113642,16.60292449,127.2935497
24/06/2011,2011w25,Final,104.95,0.81246,129.1755902,101.8463618,2.8035,19.47964644,19.85464644,126.6858096,150.9,149.343956,24.83944781,19.9780414,97.76847068,2.4255,26.85250836,85.98150836,117.4622224,207.9,205.8692308,19.69375173,16.65545769,128.0388913
1/07/2011,2011w26,Final,104.94,0.81484,128.7860193,100.0714803,2.8035,18.78795082,19.16295082,122.0745054,145.9,144.0409562,22.00302512,20.08181678,96.65578262,2.4255,26.5579956,85.6869956,115.498804,205.9,203.6112996,18.84302135,16.70799089,123.6910652
8/07/2011,2011w27,Final,108.69,0.82916,131.084471,101.6383977,2.7234,18.7352552,19.1102552,121.8033013,145.9,143.6369565,20.16490364,20.18559217,101.1010058,2.3562,26.513138,85.642138,115.2690533,205.9,203.2673913,14.16804748,16.76052409,123.7711652
15/07/2011,2011w28,Final,111.22,0.83404,133.3509184,103.8748138,2.5632,19.10792601,19.48292601,124.4479734,148.7571429,146.4940994,20.57315957,20.2843951,101.1018449,2.2176,26.8858088,86.0148088,117.8921254,208.7571429,206.1245342,16.79028047,16.80734201,126.4158373
22/07/2011,2011w29,Final,111.87,0.85388,131.0137256,102.2447235,2.5365,19.03339184,19.40839184,123.977779,148.1857143,145.9226708,21.73305547,20.38319804,97.51305178,2.1945,26.81127464,85.94027464,117.4183309,208.1857143,205.5531056,19.90527917,16.85415992,125.9456429
29/07/2011,2011w30,Final,111.73,0.86838,128.6648702,100.6820145,2.5365,18.86568998,19.24068998,122.8597665,146.9,144.6369565,22.17775204,20.48200098,97.33284993,2.1945,26.64357278,85.77257278,116.3003185,206.9,204.2673913,18.9674686,16.90097784,124.8276304
5/08/2011,2011w31,Final,107.15,0.86294,124.1685401,99.7960742,2.5365,18.6420875,19.0170875,121.3690833,145.1857143,142.9226708,21.57300911,20.58080391,96.16386712,2.1945,26.64357278,85.77257278,116.3003185,206.9,204.2673913,20.1364514,16.94779576,123.3369472
12/08/2011,2011w32,Final,100.82,0.82666,121.960661,98.63280414,2.5365,18.25078315,18.62578315,118.7603877,142.1857143,139.9226708,20.12758352,20.67960685,95.67294253,2.1945,25.95413179,85.08313179,111.7040452,201.6142857,198.981677,16.0311027,16.99461367,120.7282516
19/08/2011,2011w33,Final,103.99,0.8321,124.97296,99.2769286,2.5365,18.30668377,18.68168377,119.1330585,142.6142857,140.3512422,19.85612986,20.77840979,98.2445858,2.1945,25.95413179,85.08313179,111.7040452,201.6142857,198.981677,13.45945944,17.04143159,121.1009224
26/08/2011,2011w34,Final,105.4,0.8267,127.4948591,100.0844275,2.5365,18.47438563,18.84938563,120.2510709,143.9,141.6369565,20.16664341,20.87721272,99.20119065,2.1945,26.12183365,85.25083365,112.8220577,202.9,200.2673913,13.62086701,17.08824951,122.2189348
2/09/2011,2011w35,Final,109.73,0.84916,129.2218192,100.3231697,2.5365,18.47438563,18.84938563,120.2510709,143.9,141.6369565,19.92790121,20.97601566,101.0455813,2.1945,26.56903862,85.69803862,115.8034241,206.3285714,203.6959627,14.75784286,17.13506742,122.2189348
9/09/2011,2011w36,Final,108.53,0.83318,130.2599678,101.6901274,2.5365,18.60482042,18.97982042,121.1206361,144.9,142.6369565,19.43050867,21.03028116,101.9137068,2.1945,26.64357278,85.77257278,116.3003185,206.9,204.2673913,14.38661169,17.18313215,123.0885
16/09/2011,2011w37,Final,107.34,0.82192,130.5966517,101.2120156,2.5365,18.79115582,19.16615582,122.3628721,146.3285714,144.065528,21.15085651,21.08454667,100.7446002,2.1945,26.92307588,86.05207588,118.1636726,209.0428571,206.4102484,17.41907233,17.23119687,124.330736
23/09/2011,2011w38,Final,105.68,0.80978,130.5045815,101.6439219,2.5365,18.86568998,19.24068998,122.8597665,146.9,144.6369565,21.21584464,21.13881217,101.2496034,2.1945,27.03487713,86.16387713,118.9090142,209.9,207.2673913,17.65941073,17.2792616,124.8276304
30/09/2011,2011w39,Final,102.39,0.7771,131.7591044,103.0835186,2.5365,18.90619768,19.28119768,123.1298179,146.9,144.9475155,20.04629929,21.19307767,102.1658172,2.1945,27.039495,86.168495,118.9398,209.9,207.302795,16.7739828,17.32732632,124.8276304
7/10/2011,2011w40,Final,98.82,0.7624,129.616999,103.2637131,2.5365,19.00746692,19.38246692,123.8049461,146.9,145.723913,20.541233,21.24734317,103.7408179,2.1945,27.0510397,86.1800397,119.0167647,209.9,207.3913043,15.27594673,17.37539104,124.8276304
14/10/2011,2011w41,Final,104.92,0.78454,133.7344176,102.8442934,2.16266,19.00746692,19.38246692,124.1787861,146.9,145.723913,21.33449273,21.30160868,105.4111155,1.87106,27.0510397,86.1800397,119.3402047,209.9,207.3913043,13.92908919,17.42345577,125.2014704
21/10/2011,2011w42,Final,106.57,0.79586,133.9054608,104.3576015,2.0692,19.00746692,19.38246692,124.2722461,146.9,145.723913,19.91464467,21.35587418,102.7991783,1.7902,27.0510397,86.1800397,119.4210647,209.9,207.3913043,16.62188638,17.47152049,125.2949304
28/10/2011,2011w43,Final,107.55,0.805975,133.4408636,105.4872456,2.0692,19.00746692,19.38246692,124.2722461,146.9,145.723913,18.78500049,21.41013968,99.75331825,1.7902,27.0510397,86.1800397,119.4210647,209.9,207.3913043,19.6677464,17.51958522,125.2949304
4/11/2011,2011w44,Final,105.91,0.8012,132.1892162,105.813717,2.0692,19.00746692,19.38246692,124.2722461,146.9,145.723913,18.45852917,21.45191743,96.50711129,1.7902,26.88333783,86.01233783,118.3030522,208.6142857,206.1055901,21.79594094,17.59960616,125.2949304
11/11/2011,2011w45,Final,111.07,0.79002,140.5913774,111.3720834,2.0692,19.28697002,19.66197002,126.1356002,149.0428571,147.8667702,14.76351677,21.49369519,99.09356319,1.7902,26.65973535,85.78873535,116.812369,206.9,204.3913043,17.71880581,17.67962711,127.1582845
18/11/2011,2011w46,Final,109.89,0.7736,142.0501551,113.7950716,2.0692,20.03231164,20.40731164,131.1045443,154.7571429,153.5810559,17.30947265,21.53547294,96.3821334,1.7902,26.65973535,85.78873535,116.812369,206.9,204.3913043,20.4302356,17.75964805,132.1272286
25/11/2011,2011w47,Final,107.02,0.74672,143.32012,113.8298802,2.0692,20.75901971,21.13401971,135.9492648,160.3285714,159.1524845,22.11938456,21.57725069,97.35294169,1.7902,26.65973535,85.78873535,116.812369,206.9,204.3913043,19.45942731,17.83966899,136.9719491
2/12/2011,2011w48,Final,108.53,0.7647,141.9249379,111.3392971,2.0692,20.83355388,21.20855388,136.4461592,160.9,159.723913,25.10686208,21.61902844,97.14946372,1.7902,26.65973535,85.78873535,116.812369,206.9,204.3913043,19.66290528,17.91968994,137.4688435
9/12/2011,2011w49,Final,108.26,0.77832,139.0944599,109.6387079,2.0692,20.44224953,20.81724953,133.8374635,157.9,156.723913,24.19875558,21.66080619,97.03209459,1.7902,26.65973535,85.78873535,116.812369,206.9,204.3913043,19.78027441,17.99971088,134.8601478
16/12/2011,2011w50,Final,104.88,0.75976,138.0435927,109.1074986,2.0692,20.44224953,20.81724953,133.8374635,157.9,156.723913,24.7299649,21.70258394,99.61120459,1.7902,26.65973535,85.78873535,116.812369,206.9,204.3913043,17.20116441,18.07973183,134.8601478
23/12/2011,2011w51,Final,105.02,0.7664,137.0302714,107.1545359,1.48184,20.44224953,20.81724953,134.4248235,157.9,156.723913,27.27028758,21.74436169,98.49767339,1.28204,26.65973535,85.78873535,117.320529,206.9,204.3913043,18.8228556,18.15975277,135.4475078
30/12/2011,2011w52,Final,104.95,0.771066667,136.1101504,107.1957478,1.335,20.4130141,20.7880141,134.3767607,157.9,156.4997748,27.18101281,21.81252389,100.1702003,1.155,26.64841011,85.77741011,117.3720674,206.9,204.3044775,17.20186714,18.26488331,135.5943478
