Quarter,Average_petrol_price_cpl,Average_barrel_price,Average_tax,Index_number,Inflation_adjusted_price,Inflation_adjusted_barrel,Inflation_adjusted_tax
2006Q2,167.7846153846154,64.77307692307693,67.03076923076924,815.6606852,167.7846153846154,64.77307692307693,67.03076923076924
2006Q3,166.06153846153848,65.87076923076923,66.82307692307693,821.37031,164.907188143804,65.41287907694192,66.3585669541053
2006Q4,140.92307692307693,57.23461538461538,64.01538461538462,819.7389886,140.22196709208623,56.949866056149965,63.696900116830875
2007Q1,142.3076923076923,55.471538461538465,64.18461538461538,823.817292,140.89870526403453,54.92231531192067,63.54912414719482
2007Q2,153.82307692307694,64.67153846153846,66.0923076923077,831.9738989,150.8069381606044,63.403469080244506,64.79638009080928
2007Q3,156.6,70.02538461538461,67.91538461538461,836.0522023,152.78048781036026,68.31744840770472,66.25891182226499
2007Q4,165,83.27076923076923,68.87692307692308,845.8401305,159.11282546790918,80.29968103753895,66.41940509275798
2008Q1,171.6076923076923,90.94846153846154,69.6076923076923,851.5497553,164.3751842121903,87.11538462037697,66.67403478130396
2008Q2,193.7,116.51923076923077,72.05384615384615,865.4159869,182.56361924764897,109.82019866382446,67.91125934207253
2008Q3,202.46923076923076,113.98769230769231,75.04615384615384,878.4665579,187.99371474758755,105.83815442481863,69.68073709499882
2008Q4,156.87692307692308,53.31153846153846,70,874.3882545,146.34041332378254,49.730912745928954,65.29850746525553
2009Q1,155.5076923076923,43.04692307692308,69.83076923076923,876.8352365,144.6583184406083,40.04364937799209,64.95885510505748
2009Q2,160.37692307692308,58.07769230769231,70.4076923076923,881.7292007,148.35978082991798,53.72589482680051,65.13200028472536
2009Q3,163.52307692307693,67.85538461538462,71.29230769230769,893.1484502,149.33614332446302,61.96838778312887,65.107130319462
2009Q4,161.9230769230769,74.61,73.93846153846154,891.5171289,148.145541562089,68.26166514361853,67.6472658192304
2010Q1,172.54322344615386,76.02076923076923,75.29994790307693,894.7797716,157.2864388865746,69.29878690632695,68.6417027424763
2010Q2,175.67494666153846,77.97692307692307,75.64843851769231,896.411093,159.84981498485752,70.95261426747065,68.8338840042121
2010Q3,173.2009571076923,74.01923076923077,75.37355079307693,906.1990212,155.89645105186756,66.62397009352199,67.84298001605272
2010Q4,184.66761315714285,83.95357142857142,83.00179426,927.406199,162.4165463250302,73.83779369843926,73.0006985633067
2011Q1,202.52857143333333,100.33583333333334,85.54577018583333,934.7471452,176.7265021307388,87.55308319157162,74.64726892619618
2011Q2,211.65959426923078,111.15923076923077,86.73677316384615,943.7194127,182.9382837392964,96.07539393105428,74.96696038968716
2011Q3,203.87611766428572,107.10571428571428,85.72153708857142,947.7977162,175.45276907470048,92.17359232873106,73.77068596281282
2011Q4,205.4395703769231,106.41461538461539,85.92546570692308,944.5350734,177.4089554320564,91.89517736749177,74.20161115071409
2012Q1,210.4355875,116.12461538461538,86.57712010615384,949.4290375,180.78658721317498,99.76341528652881,74.37896916906561
2012Q2,210.84292616923076,106.23076923076923,86.63025124153846,952.6916803,180.51620391458957,90.95100105503913,74.1697356530609
2012Q3,209.17881033846155,106.32384615384615,87.79780803615384,955.1386623,178.63263053255048,90.79747750772788,74.97677885782647
2012Q4,207.23535595384615,107.1723076923077,88.15969860076923,953.5073409,177.27575361447333,91.67862078991669,75.41462669795047
2013Q1,210.42838030000001,108.11153846153846,88.57618004076923,957.5856444,179.24052836920765,92.08819289977716,75.44819424451723
2013Q2,205.09999997692307,100.72461538461539,87.88117391307692,959.2169657,174.40476190244792,85.65018315868375,74.7288893892848
2013Q3,216.64371713076923,106.31769230769231,92.38687614923077,968.1892333,182.51366228982235,89.56840127316781,77.83224612664065
2013Q4,209.0063544923077,106.84769230769231,91.39069841692309,969.004894,175.93127482837025,89.9391349407685,76.92819732203958
2014Q1,211.2954717,104.57230769230769,91.68927891461539,972.2675367,177.2613017723923,87.72844605586316,76.9205360068144
2014Q2,210.4592870076923,106.03769230769231,91.58021134692308,974.7145188,176.1165581679625,88.73447055164465,76.63616012404893
2014Q3,212.38957958461538,101.66230769230769,94.83198864538461,977.9771615,177.13893210718635,84.78924745454898,79.09256768198368
2014Q4,201.22181078461537,75.63923076923076,93.3753231476923,976.3458401,168.10510509775267,63.19066898560516,78.00778876839107
2015Q1,178.84495144615386,52.011538461538464,90.45660235923077,974.7145188,149.6610472374248,43.52429996843976,75.69590155692889
2015Q2,194.2112708,60.88153846153846,92.46090488384615,978.7928222,161.84272567328063,50.73461538668874,77.0507540730206
2015Q3,198.05792017692306,50.48923076923077,92.9626417623077,982.0554649,164.4999337152978,41.93457705430635,77.21149648667469
2015Q4,184.33819875384614,41.1,91.17311288,977.1615008,153.8716183363739,34.30717863349534,76.10443479673954
2016Q1,168.97146951538463,30.57076923076923,89.16875689538462,978.7928222,140.80955793524157,25.47564102668213,74.3072974158572
2016Q2,177.99706556923076,42.667692307692306,90.3460085523077,982.8711256,147.71540712131392,35.40887328676966,74.97594071234394
2016Q3,175.34864952857143,43.362857142857145,90.14449155428571,986.1337684,145.03610382942975,35.866713931477385,74.56120062440637
2016Q4,182.63212294615386,48.22538461538462,91.10558125538462,990.2120718,150.4383220364114,39.724369536229034,75.04578357364285
2017Q1,189.81610113846156,52.94923076923077,92.04262188461539,1e3,154.82553111659004,43.18860585004369,75.0755480340099
2017Q2,185.75578934615385,49.441538461538464,91.51301599538462,1e3,151.5136944179507,40.32751913888062,74.64356933151397
2017Q3,183.48514093846154,50.614615384615384,90.41684447076923,1004.893964,148.9327442928935,41.083291715094674,73.39029584881601
